Fixed in,Bug Report,CVE ID,Advisory Impact,Announced,Description,NVD Publish Date,CWE,CVSS2 Severity,Affected Versions
firefox89.0.1,https://bugzilla.mozilla.org/show_bug.cgi?id=1712047,CVE-2021-29968,moderate,"June 16, 2021","When drawing text onto a canvas with WebRender disabled, an out of bounds read could occur. <br><em>This bug only affects Firefox on Windows. Other operating systems are unaffected.</em>",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1709257,CVE-2021-29965,high,"June  1, 2021","A malicious website that causes an HTTP Authentication dialog to be spawned could trick the built-in password manager to suggest passwords for the currently active website instead of the website that triggered the dialog.
<br><em>This bug only affects Firefox for Android. Other operating systems are unaffected.</em>",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1675965,CVE-2021-29960,moderate,"June  1, 2021","Firefox used to cache the last filename used for printing a file. When generating a filename for printing, Firefox usually suggests the web page title.
The caching and suggestion techniques combined may have lead to the title of a website visited during private browsing mode being stored on disk.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1700235,CVE-2021-29961,moderate,"June  1, 2021","When styling and rendering an oversized <code>&lt;select&gt;</code> element, Firefox did not apply correct clipping which allowed an attacker to paint over the user interface.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1705068,CVE-2021-29963,moderate,"June  1, 2021","Address bar search suggestions in private browsing mode were re-using session data from normal mode.
<br><em>This bug only affects Firefox for Android. Other operating systems are unaffected.</em>",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1706501,CVE-2021-29964,moderate,"June  1, 2021","A locally-installed hostile program could send <code>WM_COPYDATA</code> messages that Firefox would process incorrectly, leading to an out-of-bounds read. <br><em>This bug only affects Firefox on Windows. Other operating systems are unaffected.</em>",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1395819,CVE-2021-29959,low,"June  1, 2021","When a user has already allowed a website to access microphone and camera, disabling camera sharing would not fully prevent the website from re-enabling it without an additional prompt.
This was only possible if the website kept recording with the microphone until re-enabling the camera.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1701673,CVE-2021-29962,low,"June  1, 2021","Firefox for Android would become unstable and hard-to-recover when a website opened too many popups.
<br><em>This bug only affects Firefox for Android. Other operating systems are unaffected.</em>",-,-,-,-
firefox89,https://bugzilla.mozilla.org/buglist.cgi?bug_id=1602862%2C1703191%2C1703760%2C1704722%2C1706041,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1602862,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1703191,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1703760,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-
