Fixed in,Bug Report,CVE ID,Advisory Impact,Announced,Description,NVD Publish Date,CWE,CVSS2 Severity,Affected Versions,Bug Status,Bug Report Severity,Bug Open Date,Bug Close Date,Affected Files
firefox89.0.1,https://bugzilla.mozilla.org/show_bug.cgi?id=1712047,CVE-2021-29968,moderate,"June 16, 2021","When drawing text onto a canvas with WebRender disabled, an out of bounds read could occur. <br><em>This bug only affects Firefox on Windows. Other operating systems are unaffected.</em>",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1709257,CVE-2021-29965,high,"June  1, 2021","A malicious website that causes an HTTP Authentication dialog to be spawned could trick the built-in password manager to suggest passwords for the currently active website instead of the website that triggered the dialog.
<br><em>This bug only affects Firefox for Android. Other operating systems are unaffected.</em>",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1675965,CVE-2021-29960,moderate,"June  1, 2021","Firefox used to cache the last filename used for printing a file. When generating a filename for printing, Firefox usually suggests the web page title.
The caching and suggestion techniques combined may have lead to the title of a website visited during private browsing mode being stored on disk.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1700235,CVE-2021-29961,moderate,"June  1, 2021","When styling and rendering an oversized <code>&lt;select&gt;</code> element, Firefox did not apply correct clipping which allowed an attacker to paint over the user interface.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1705068,CVE-2021-29963,moderate,"June  1, 2021","Address bar search suggestions in private browsing mode were re-using session data from normal mode.
<br><em>This bug only affects Firefox for Android. Other operating systems are unaffected.</em>",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1706501,CVE-2021-29964,moderate,"June  1, 2021","A locally-installed hostile program could send <code>WM_COPYDATA</code> messages that Firefox would process incorrectly, leading to an out-of-bounds read. <br><em>This bug only affects Firefox on Windows. Other operating systems are unaffected.</em>",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1395819,CVE-2021-29959,low,"June  1, 2021","When a user has already allowed a website to access microphone and camera, disabling camera sharing would not fully prevent the website from re-enabling it without an additional prompt.
This was only possible if the website kept recording with the microphone until re-enabling the camera.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1701673,CVE-2021-29962,low,"June  1, 2021","Firefox for Android would become unstable and hard-to-recover when a website opened too many popups.
<br><em>This bug only affects Firefox for Android. Other operating systems are unaffected.</em>",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1602862,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1703191,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1703760,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1704722,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1706041,CVE-2021-29967,high,"June  1, 2021","Mozilla developers Christian Holler, Anny Gakhokidze, Alexandru Michis, Gabriele Svelto reported memory safety bugs present in Firefox 88 and Firefox ESR 78.11. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1660307,CVE-2021-29966,moderate,"June  1, 2021","Mozilla developers Christian Holler, Tooru Fujisawa, Tyson Smith reported memory safety bugs present in Firefox 88. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1686154,CVE-2021-29966,moderate,"June  1, 2021","Mozilla developers Christian Holler, Tooru Fujisawa, Tyson Smith reported memory safety bugs present in Firefox 88. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1702948,CVE-2021-29966,moderate,"June  1, 2021","Mozilla developers Christian Holler, Tooru Fujisawa, Tyson Smith reported memory safety bugs present in Firefox 88. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox89,https://bugzilla.mozilla.org/show_bug.cgi?id=1708124,CVE-2021-29966,moderate,"June  1, 2021","Mozilla developers Christian Holler, Tooru Fujisawa, Tyson Smith reported memory safety bugs present in Firefox 88. Some of these bugs showed evidence of memory corruption and we presume that with enough effort some of these could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox88.0.1,https://bugzilla.mozilla.org/show_bug.cgi?id=1701684,CVE-2021-29953,critical,"May  5, 2021","A malicious webpage could have forced a Firefox for Android user into executing attacker-controlled JavaScript in the context of another domain, resulting in a Universal Cross-Site Scripting vulnerability.<br><em>Note: This issue only affected Firefox for Android. Other operating systems are unaffected. Further details are being temporarily withheld to allow users an opportunity to update.</em>",-,-,-,-,Access Denied,-,-,-,-
firefox88.0.1,https://bugzilla.mozilla.org/show_bug.cgi?id=1704227,CVE-2021-29952,high,"May  5, 2021","When Web Render components were destructed, a race condition could have caused undefined behavior, and we presume that with enough effort may have been exploitable to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1699077,CVE-2021-23994,high,"April 19, 2021","A WebGL framebuffer was not initialized early enough, resulting in memory corruption and an out of bound write.",-,-,-,-,Access Denied,-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1699835,CVE-2021-23995,high,"April 19, 2021","When Responsive Design Mode was enabled, it used references to objects that were previously freed. We presume that with enough effort this could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1701834,CVE-2021-23996,high,"April 19, 2021","By utilizing 3D CSS in conjunction with Javascript, content could have been rendered outside the webpage's viewport, resulting in a spoofing attack that could have been used for phishing or other attacks on a user.",-,-,-,-,Access Denied,-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1701942,CVE-2021-23997,high,"April 19, 2021","Due to unexpected data type conversions, a use-after-free could have occurred when interacting with the font cache. We presume that with enough effort this could have been exploited to run arbitrary code.",-,-,-,-,Access Denied,-,-,-,-
firefox88,https://bugzilla.mozilla.org/show_bug.cgi?id=1667456,CVE-2021-23998,moderate,"April 19, 2021","Through complicated navigations with new windows, an HTTP page could have inherited a secure lock icon from an HTTPS page.",-,-,-,-,Access Denied,-,-,-,-
